#,Wine,Country,Region,Classification,Style,Grapes
708,Elba Aleatico Passito,Italy,Tuscany,DOCG,Sweet Red,Aleatico
709,Elbling,Luxembourg,Moselle,AOP,White,Elbling
710,Elgin,South Africa,Cape South Coast,WO,White,Sauvignon Blanc; Chardonnay
711,Elim,South Africa,Cape South Coast,WO,White,Sauvignon Blanc; Syrah
712,Elkton Oregon,United States,Oregon,AVA,White,Pinot Gris; Riesling
713,Eloro,Italy,Sicily,DOC,Red,Nero d'Avola; Frappato
714,Elqui Valley,Chile,Coquimbo,DO,Red,Syrah; Carmenère
715,Empordà,Spain,Catalonia,DO,Red,Garnacha; Cariñena
716,Encostas d'Aire,Portugal,Lisboa,DOC,Red,Castelão; Trincadeira
717,Engelberg,France,Alsace,AOC Grand Cru,White,Riesling
718,English Bacchus,United Kingdom,National,PDO,White,Bacchus
719,English Sparkling Wine,United Kingdom,National,PDO,Sparkling,Chardonnay; Pinot Noir; Meunier
720,Entraygues-Le Fel,France,Southwest France,AOC,White,Chenin Blanc
721,Entre-Deux-Mers,France,Bordeaux (Entre-Deux-Mers),AOC,White,Sauvignon Blanc; Sémillon
722,Eola-Amity Hills,United States,Oregon,AVA,Red,Pinot Noir
723,Épesses,Switzerland,Vaud,Grand Cru,White,Chasselas
724,Erbacher Marcobrunn,Germany,Rheingau,Einzellage,White,Riesling
725,Erbaluce di Caluso,Italy,Piedmont,DOCG,White,Erbaluce
726,Erdener Prälat,Germany,Mosel,Einzellage,White,Riesling
727,Erdut,Croatia,Slavonia & Danube,PDO,White,Graševina
728,Erice,Italy,Sicily,DOC,White,Catarratto; Grillo
729,Erlin,Taiwan,Changhua,Regional,Red,Black Queen; Golden Muscat
730,Ermitage du Valais,Switzerland,Valais,AOC,White,Marsanne
731,Escherndorfer Lump,Germany,Franken,Einzellage,White,Silvaner
732,Escondido Valley,United States,Texas,AVA,Red,Cabernet Sauvignon
733,Esino,Italy,Marche,DOC,White,Verdicchio
734,Essex,United Kingdom,East England,Regional,White,Chardonnay; Bacchus
735,Est! Est!! Est!!! di Montefiascone,Italy,Lazio,DOC,White,Trebbiano; Malvasia
736,Estaing,France,Southwest France,AOC,Red,Fer Servadou; Gamay
737,Etna Bianco,Italy,Sicily,DOC,White,Carricante; Catarratto
738,Etna Rosato,Italy,Sicily,DOC,Rosé,Nerello Mascalese
739,Etna Rosso,Italy,Sicily,DOC,Red,Nerello Mascalese; Nerello Cappuccio
740,Etyek-Buda,Hungary,Etyek-Buda,PDO,Sparkling,Chardonnay; Pinot Noir
741,Evia,Greece,Central Greece,PGI,White,Savatiano
742,Évora,Portugal,Alentejo,DOC,Red,Trincadeira; Aragonez
743,Falanghina del Sannio,Italy,Campania,DOC,White,Falanghina
744,Falerio,Italy,Marche,DOC,White,Trebbiano Toscano; Passerina; Pecorino
745,Falerno del Massico,Italy,Campania,DOC,Red,Aglianico; Piedirosso
746,Far North,Australia,South Australia,GI,Red,Shiraz
747,Fara,Italy,Piedmont,DOC,Red,Nebbiolo; Vespolina
748,Faro,Italy,Sicily,DOC,Red,Nerello Mascalese; Nocera
749,Farroupilha,Brazil,Rio Grande do Sul,IP,Sweet White,Moscato Bianco
750,Faugères,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
751,Federspiel,Austria,Wachau,Vinea Wachau,White,Grüner Veltliner; Riesling
752,Federweisser,Germany,National,Seasonal,White,Various
753,Fendant,Switzerland,Valais,AOC,White,Chasselas
754,Fennville,United States,Michigan,AVA,White,Riesling
755,Fetească Neagră (Moldova),Moldova,National,Grape wine,Red,Fetească Neagră
756,Fiano di Avellino,Italy,Campania,DOCG,White,Fiano
757,Fiddletown,United States,California (Sierra Foothills),AVA,Red,Zinfandel
758,Fiefs Vendéens,France,Loire (Pays Nantais),AOC,Red,Pinot Noir; Cabernet Franc
759,Finca Élez,Spain,Castilla-La Mancha,DO de Pago,Red,Tempranillo; Cabernet Sauvignon
760,Finger Lakes,United States,New York,AVA,White,Riesling
761,Fino,Spain,Andalusia,DO,Fortified,Palomino
762,Fitou,France,Languedoc,AOC,Red,Carignan; Grenache; Mourvèdre
763,Fixin,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
764,Fleurie,France,Beaujolais,AOC Cru,Red,Gamay
765,Floc de Gascogne,France,Southwest France,AOC,Fortified,Colombard; Ugni Blanc
766,Florentino,Spain,Castilla-La Mancha,DO de Pago,Red,Garnacha
767,Florida,Uruguay,Florida,Regional,Red,Tannat
768,Florimont,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
769,Florina,Greece,Macedonia,PGI,Red,Xinomavro
770,Fondillón,Spain,Levante,DO,Fortified,Monastrell
771,Forster Jesuitengarten,Germany,Pfalz,Einzellage,White,Riesling
772,Forster Kirchenstück,Germany,Pfalz,Einzellage,White,Riesling
773,Fort Ross-Seaview,United States,California (Sonoma),AVA,Red,Pinot Noir
774,Four Mile Creek,Canada,Ontario,VQA,Red,Cabernet Franc; Merlot
775,Franciacorta,Italy,Lombardy,DOCG,Sparkling,Chardonnay; Pinot Nero
776,Franciacorta Satèn,Italy,Lombardy,DOCG,Sparkling,Chardonnay
777,Francs-Côtes de Bordeaux,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
778,Franken,Germany,Franken,Anbaugebiet,White,Silvaner; Müller-Thurgau
779,Frankland River,Australia,Western Australia,GI,Red,Shiraz; Cabernet Sauvignon
780,Frankstein,France,Alsace,AOC Grand Cru,White,Riesling
781,Franschhoek Valley,South Africa,Coastal Region,WO,White,Semillon; Cabernet Sauvignon
782,Frascati,Italy,Lazio,DOC,White,Malvasia; Trebbiano
783,Frascati Superiore,Italy,Lazio,DOCG,White,Malvasia del Lazio
784,Frascati Superiore Riserva,Italy,Lazio,DOCG,White,Malvasia del Lazio
785,Fraser Valley,Canada,British Columbia,BC GI,White,Pinot Gris; Bacchus
786,Fredericksburg in the Texas Hill Country,United States,Texas,AVA,Red,Tempranillo
787,Freisa d'Asti,Italy,Piedmont,DOC,Red,Freisa
788,Freisa di Chieri,Italy,Piedmont,DOC,Red,Freisa
789,Friuli,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Pinot Grigio
790,Friuli Annia,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Chardonnay
791,Friuli Aquileia,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Pinot Grigio
792,Friuli Colli Orientali,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Ribolla Gialla
793,Friuli Grave,Italy,Friuli-Venezia Giulia,DOC,White,Pinot Grigio; Friulano
794,Friuli Isonzo,Italy,Friuli-Venezia Giulia,DOC,White,Friulano; Pinot Grigio
795,Friuli Latisana,Italy,Friuli-Venezia Giulia,DOC,White,Pinot Grigio; Friulano
796,Froehn,France,Alsace,AOC Grand Cru,White,Gewurztraminer
797,Fronsac,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
798,Fronton,France,Southwest France,AOC,Red,Négrette
799,Fruška Gora,Serbia,Vojvodina,PDO,White,Italian Riesling; Traminer
800,Furstentum,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Riesling
801,Fyn,Denmark,Funen,PGI,White,Solaris
802,Gabiano,Italy,Piedmont,DOC,Red,Barbera; Freisa
803,Gabilan Mountains,United States,California (Central Coast),AVA,Red,Pinot Noir
804,Gadagne,France,Rhône (Southern),AOC Villages,Red,Grenache; Syrah
805,Gaillac,France,Southwest France,AOC,Red,Duras; Braucol; Syrah
806,Galatina,Italy,Puglia,DOC,Red,Negroamaro
807,Galluccio,Italy,Campania,DOC,Red,Aglianico
808,Gambellara,Italy,Veneto,DOC,White,Garganega
809,Ganja,Azerbaijan,Ganja-Qazakh,Regional,Red,Madrasa; Bayanshira
810,Garda,Italy,Lombardy,DOC,White,Garganega; Chardonnay
811,Gaspereau Valley,Canada,Nova Scotia,Regional,White,L'Acadie Blanc
812,Gattinara,Italy,Piedmont,DOCG,Red,Nebbiolo
813,Gavi,Italy,Piedmont,DOCG,White,Cortese
814,Geelong,Australia,Victoria,GI,Red,Pinot Noir; Shiraz
815,Geisberg,France,Alsace,AOC Grand Cru,White,Riesling
816,Gelendzhik,Russia,Krasnodar,PGI,Red,Cabernet Sauvignon
817,Genazzano,Italy,Lazio,DOC,Red,Cesanese; Sangiovese
818,General Roca,Argentina,Patagonia,GI,Red,Malbec; Pinot Noir
819,Geneseo District,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
820,Genève,Switzerland,Geneva,AOC,White,Chasselas; Gamaret
821,Gentil,France,Alsace,AOC,White,Riesling; Gewurztraminer; Pinot Gris; Muscat
822,Geographe,Australia,Western Australia,GI,Red,Shiraz; Cabernet Sauvignon
823,Getariako Txakolina,Spain,Basque Country,DO,White,Hondarrabi Zuri
824,Gevrey-Chambertin,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
825,Ghemme,Italy,Piedmont,DOCG,Red,Nebbiolo
826,Gianaclis (Abu Hummus),Egypt,Nile Delta,Regional,White,Bannati; Chardonnay
827,Gibbston,New Zealand,Central Otago,GI,Red,Pinot Noir
828,Gigondas,France,Rhône (Southern),AOC,Red,Grenache; Syrah; Mourvèdre
829,Gimblett Gravels,New Zealand,Hawke's Bay,GI,Red,Syrah; Merlot; Cabernet Sauvignon
830,Gioia del Colle,Italy,Puglia,DOC,Red,Primitivo
831,Gippsland,Australia,Victoria,GI,Red,Pinot Noir; Chardonnay
832,Girò di Cagliari,Italy,Sardinia,DOC,Sweet Red,Girò
833,Gisborne,New Zealand,Gisborne,GI,White,Chardonnay; Gewürztraminer
834,Givry,France,Burgundy (Côte Chalonnaise),AOC,Red,Pinot Noir
835,Gladstone,New Zealand,Wairarapa,GI,Red,Pinot Noir; Sauvignon Blanc
836,Glenrowan,Australia,Victoria,GI,Fortified,Muscat; Shiraz
837,Gloeckelberg,France,Alsace,AOC Grand Cru,White,Pinot Gris; Gewurztraminer
838,Golan Heights,Israel,Galilee,Regional,Red,Cabernet Sauvignon; Merlot
839,Golden Mile Bench,Canada,British Columbia,BC GI,Red,Merlot; Cabernet Franc
840,Goldert,France,Alsace,AOC Grand Cru,White,Muscat Blanc à Petits Grains; Gewurztraminer
841,Golfo del Tigullio,Italy,Liguria,DOC,White,Vermentino; Bianchetta
842,Goose Gap,United States,Washington,AVA,Red,Cabernet Sauvignon
843,Goriška Brda,Slovenia,Primorska,PDO,White,Rebula; Chardonnay
844,Gotland,Sweden,Gotland,Regional,White,Solaris
845,Goudini,South Africa,Breede River Valley,WO,White,Chenin Blanc
846,Goulburn Valley,Australia,Victoria,GI,Red,Shiraz; Marsanne
847,Goumenissa,Greece,Macedonia,PDO,Red,Xinomavro; Negoska
848,Gozo DOK,Malta,Gozo,PDO,White,Girgentina; Chardonnay
849,Graacher Himmelreich,Germany,Mosel,Einzellage,White,Riesling
850,Graciosa,Portugal,Azores,DOC,White,Verdelho; Arinto
851,Grampians,Australia,Victoria,GI,Red,Shiraz
852,Gran Canaria,Spain,Canary Islands,DO,Red,Listán Negro
853,Granada,Spain,Andalusia,DO,Red,Tempranillo; Garnacha
854,Grance Senesi,Italy,Tuscany,DOC,Red,Sangiovese
855,Grand River Valley,United States,Ohio,AVA,White,Riesling; Chardonnay
856,Grand Valley,United States,Colorado,AVA,Red,Cabernet Franc; Merlot
857,Grand Valley Colorado,United States,Colorado,AVA,Red,Cabernet Franc
858,Grands Échézeaux,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
859,Granite Belt,Australia,Queensland,GI,Red,Shiraz; Verdelho
860,Granja-Amareleja,Portugal,Alentejo,DOC,Red,Moreto; Trincadeira
861,Graves,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
862,Graves Blanc,France,Bordeaux (Left Bank),AOC,White,Sauvignon Blanc; Sémillon
863,Graves de Vayres,France,Bordeaux (Entre-Deux-Mers),AOC,Red,Merlot; Cabernet Franc
864,Graves Supérieures,France,Bordeaux (Left Bank),AOC,Sweet White,Sémillon; Sauvignon Blanc
865,Gravina,Italy,Puglia,DOC,White,Greco; Malvasia
866,Great Southern,Australia,Western Australia,GI,White,Riesling; Shiraz
867,Greater Perth,Australia,Western Australia,GI,Red,Shiraz
868,Greco di Bianco,Italy,Calabria,DOC,Sweet White,Greco Bianco
869,Greco di Tufo,Italy,Campania,DOCG,White,Greco
870,Green Valley of Russian River Valley,United States,California (Sonoma),AVA,White,Chardonnay; Pinot Noir
871,Grés de Montpellier,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
872,Grignan-les-Adhémar,France,Rhône (Southern),AOC,Red,Grenache; Syrah
873,Grignolino d'Asti,Italy,Piedmont,DOC,Red,Grignolino
874,Grignolino del Monferrato Casalese,Italy,Piedmont,DOC,Red,Grignolino
875,Griotte-Chambertin,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
876,Gris de Boulaouane,Morocco,Casablanca,AOG,Rosé,Cinsault; Grenache
877,Grk Lumbarda,Croatia,Dalmatia,PDO,White,Grk
878,Grombalia,Tunisia,Nabeul,AOC,Red,Carignan; Cinsault
879,Gros Plant du Pays Nantais,France,Loire (Pays Nantais),AOC,White,Folle Blanche
880,Grosses Gewächs (VDP.GG),Germany,National,VDP classification,White,Riesling
881,Grottino di Roccanova,Italy,Basilicata,DOC,Red,Sangiovese; Malvasia Nera
882,Guairá,Paraguay,Guairá,Regional,Red,Tannat; Cabernet Sauvignon
883,Gualtallary,Argentina,Mendoza,GI,Red,Malbec; Cabernet Franc
884,Guanajuato,Mexico,Guanajuato,Regional,Red,Malbec; Syrah
885,Guardiolo,Italy,Campania,DOC,Red,Sangiovese; Aglianico
886,Guarilihue,Chile,Southern Chile,DO,Red,Cinsault
887,Guenoc Valley,United States,California (Lake),AVA,Red,Cabernet Sauvignon
888,Guerrouane,Morocco,Meknès,AOG,Red,Carignan; Cinsault; Grenache
889,Gulf Islands,Canada,British Columbia,BC GI,White,Pinot Gris; Ortega
890,Gundagai,Australia,New South Wales,GI,Red,Shiraz
891,Guria,Georgia,Guria,Regional,White,Chkhaveri
892,Gurjaani,Georgia,Kakheti,PDO,White,Rkatsiteli; Mtsvane
893,Gutturnio,Italy,Emilia-Romagna,DOC,Red,Barbera; Croatina
894,Gyeongsan,South Korea,Gyeongsangbuk,Regional,Red,Campbell Early; MBA
895,Hageland,Belgium,Flanders,PDO,White,Müller-Thurgau; Pinot Gris
896,Hajós-Baja,Hungary,Duna,PDO,Red,Kékfrankos
897,Hames Valley,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon
898,Hampshire,United Kingdom,Southeast England,Regional,Sparkling,Chardonnay; Pinot Noir
899,Happy Canyon of Santa Barbara,United States,California (Central Coast),AVA,Red,Cabernet Sauvignon; Sauvignon Blanc
900,Hardap,Namibia,Hardap,Regional,Red,Ruby Cabernet
901,Haspengouw,Belgium,Flanders,PDO,White,Chardonnay; Pinot Gris
902,Hastings River,Australia,New South Wales,GI,Red,Chambourcin
903,Hatschbourg,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
904,Haut-Médoc,France,Bordeaux (Left Bank),AOC,Red,Cabernet Sauvignon; Merlot
905,Haut-Montravel,France,Southwest France,AOC,Sweet White,Sémillon; Muscadelle
906,Hautes-Côtes de Beaune,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
907,Hautes-Côtes de Nuits,France,Burgundy (Côte de Nuits),AOC,Red,Pinot Noir
908,Haw River Valley,United States,North Carolina,AVA,Red,Cabernet Franc
909,Hawke's Bay,New Zealand,Hawke's Bay,GI,Red,Merlot; Syrah; Chardonnay
910,Heathcote,Australia,Victoria,GI,Red,Shiraz
911,Hebron Hills,Palestine,Hebron,Regional,Red,Baladi
912,Heida (Païen),Switzerland,Valais,AOC,White,Savagnin Blanc
913,Helan Mountain East,China,Ningxia,Regional,Red,Cabernet Sauvignon; Marselan
914,Hemel-en-Aarde Ridge,South Africa,Cape South Coast,WO,Red,Pinot Noir
915,Hemel-en-Aarde Valley,South Africa,Cape South Coast,WO,Red,Pinot Noir; Chardonnay
916,Henderson,New Zealand,Auckland,Regional,Red,Cabernet Sauvignon
917,Hengst,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Pinot Gris
918,Henty,Australia,Victoria,GI,White,Riesling; Chardonnay
919,Heraklion,Greece,Crete,PGI,Red,Kotsifali
920,Hermann,United States,Missouri,AVA,Red,Norton; Chambourcin
921,Hermitage,France,Rhône (Northern),AOC,Red,Syrah
922,Hermitage Blanc,France,Rhône (Northern),AOC,White,Marsanne; Roussanne
923,Hessische Bergstraße,Germany,Hessische Bergstraße,Anbaugebiet,White,Riesling
924,Heuvelland,Belgium,Flanders,PDO,White,Müller-Thurgau
925,Hexi Corridor,China,Gansu,Regional,Red,Cabernet Sauvignon
926,High Valley,United States,California (Lake),AVA,Red,Cabernet Sauvignon
927,Hilltops,Australia,New South Wales,GI,Red,Shiraz; Cabernet Sauvignon
928,Hochheimer Domdechaney,Germany,Rheingau,Einzellage,White,Riesling
929,Hokkaido,Japan,Hokkaido,GI,White,Kerner; Pinot Noir
930,Hombolo,Tanzania,Dodoma,Regional,White,Chenin Blanc
931,Horse Heaven Hills,United States,Washington,AVA,Red,Cabernet Sauvignon; Merlot
932,Houli,Taiwan,Taichung,Regional,White,Golden Muscat
933,Howell Mountain,United States,California (Napa),AVA,Red,Cabernet Sauvignon; Zinfandel
934,Hua Hin Hills,Thailand,Hua Hin,Regional,Red,Shiraz; Muscat
935,Huailai,China,Hebei,Regional,Red,Cabernet Sauvignon; Longyan
936,Huanren,China,Liaoning,Regional,Sweet White,Vidal
937,Hudson River Region,United States,New York,AVA,White,Seyval Blanc; Cabernet Franc
938,Humagne Rouge,Switzerland,Valais,AOC,Red,Humagne Rouge
939,Hunter Valley,Australia,New South Wales,GI,White,Semillon; Shiraz
940,Huon Valley,Australia,Tasmania,Regional,Red,Pinot Noir
941,Huși,Romania,Moldovan Hills,DOC,White,Zghihară de Huși
942,Iași,Romania,Moldovan Hills,DOC,White,Fetească Albă
943,Ica Valley,Peru,Ica,Regional,Red,Malbec; Tannat; Quebranta
944,Icewine (Ontario),Canada,Ontario,VQA,Sweet White,Vidal; Riesling
945,IGP Côtes de Gascogne,France,National,IGP,White,Colombard; Ugni Blanc
946,IGP Île de Beauté,France,National,IGP,Red,Nielluccio; Syrah
947,IGP Méditerranée,France,National,IGP,Rosé,Grenache; Cinsault
948,IGP Pays d'Oc,France,National,IGP,Red,Merlot; Syrah; Cabernet Sauvignon
949,IGP Val de Loire,France,National,IGP,White,Sauvignon Blanc; Chardonnay
950,Ijevan,Armenia,Tavush,Regional,Red,Haghtanak
951,Ikaria,Greece,Aegean Islands,PGI,Red,Fokiano
952,Ilia,Greece,Peloponnese,PGI,White,Roditis
953,Ilok Traminac,Croatia,Slavonia & Danube,PDO,White,Traminac
954,Indiana Uplands,United States,Indiana,AVA,Red,Chambourcin; Traminette
955,Inle Lake,Myanmar,Shan State,Regional,Red,Shiraz; Chenin Blanc
956,Ioannina,Greece,Epirus,PGI,White,Debina
957,Irancy,France,Burgundy (Chablis),AOC,Red,Pinot Noir; César
958,Irish Wine,Ireland,Cork,Regional,White,Rondo; Solaris
959,Irouléguy,France,Southwest France,AOC,Red,Tannat; Cabernet Franc
960,Irpinia,Italy,Campania,DOC,Red,Aglianico
961,Ischia,Italy,Campania,DOC,White,Biancolella; Forastera
962,Isle St. George,United States,Ohio,AVA,White,Catawba
963,Issyk-Kul,Kyrgyzstan,Issyk-Kul,Regional,White,Rkatsiteli
964,Itata Valley,Chile,Southern Chile,DO,Red,País; Cinsault
965,Iwate,Japan,Iwate,Regional,White,Riesling Lion; Kerner
966,Jahant,United States,California (Central Valley),AVA,White,Albariño
967,Jasnières,France,Loire (Touraine),AOC,White,Chenin Blanc
968,Jerez-Xérès-Sherry,Spain,Andalusia,DO,Fortified,Palomino; Pedro Ximénez; Moscatel
969,Jerusalem Mountains,Israel,Judean Hills,Regional,Red,Cabernet Sauvignon
970,Jezzine,Lebanon,Jezzine,Regional,Red,Syrah; Cinsault
971,Jidvei,Romania,Transylvania,DOC,White,Fetească Regală
972,Johannisberg,Germany,Rheingau,Bereich,White,Riesling
973,Johannisberg du Valais,Switzerland,Valais,AOC,White,Silvaner
974,Jongieux,France,Savoie & Bugey,Cru,White,Jacquère; Altesse
975,Jonkershoek Valley,South Africa,Coastal Region,WO,Red,Cabernet Sauvignon
976,Judean Hills,Israel,Judean Hills,Regional,Red,Cabernet Sauvignon; Syrah
977,Juliénas,France,Beaujolais,AOC Cru,Red,Gamay
978,Jumilla,Spain,Levante,DO,Red,Monastrell
979,Jurançon,France,Southwest France,AOC,Sweet White,Petit Manseng; Gros Manseng
980,Jurançon Sec,France,Southwest France,AOC,White,Gros Manseng
981,Jylland,Denmark,Jutland,PGI,White,Solaris; Rondo
982,Kabinett,Germany,National,Prädikat,White,Riesling
983,Kaefferkopf,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Riesling
984,Kaiserstuhl,Germany,Baden,Bereich,Red,Spätburgunder
985,Kakheti Qvevri Amber,Georgia,Kakheti,Traditional method,Orange,Rkatsiteli; Kisi
986,Kalecik,Turkey,Central Anatolia,Regional,Red,Kalecik Karası
987,Kallmet,Albania,Berat & Korçë,Regional,Red,Kallmet
988,Kamptal,Austria,Niederösterreich,DAC,White,Grüner Veltliner; Riesling
989,Kamptal Ried Heiligenstein,Austria,Niederösterreich,Ried,White,Riesling
990,Kanawha River Valley,United States,Ohio,AVA,Red,Chambourcin
991,Kangaroo Island,Australia,South Australia,GI,Red,Cabernet Sauvignon
992,Kanzlerberg,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
993,Kardanakhi,Georgia,Kakheti,PDO,White,Rkatsiteli
994,Kardenakhi,Georgia,Kakheti,PDO,Fortified,Rkatsiteli
995,Karm Abu Sir,Egypt,Nile Delta,Regional,Red,Grenache
996,Kartli Sparkling,Georgia,Kartli,Regional style,Sparkling,Chinuri; Goruli Mtsvane
997,Kastelberg,France,Alsace,AOC Grand Cru,White,Riesling
998,Kathmandu Valley,Nepal,Bagmati,Regional,Red,Cabernet Sauvignon
999,Katsunuma,Japan,Yamanashi,Regional,White,Koshu
1000,Kavala,Greece,Macedonia,PGI,White,Assyrtiko
1001,Kefraya,Lebanon,Bekaa Valley,Regional,Red,Syrah; Cabernet Sauvignon
1002,Kekerengu Coast,New Zealand,Marlborough,Regional,White,Sauvignon Blanc
1003,Kelsey Bench,United States,California (Lake),AVA,Red,Cabernet Sauvignon
1004,Kent,United Kingdom,Southeast England,Regional,Sparkling,Chardonnay; Pinot Noir
1005,Kessler,France,Alsace,AOC Grand Cru,White,Gewurztraminer; Riesling
1006,Khao Yai,Thailand,Khao Yai,Regional,Red,Shiraz; Chenin Blanc
1007,Khatlon,Tajikistan,Khatlon,Regional,Sweet White,Muscat of Alexandria
1008,Kherson,Ukraine,Kherson,Regional,White,Aligoté
1009,Khvanchkara,Georgia,Racha-Lechkhumi,PDO,Sweet Red,Aleksandrouli; Mujuretuli
1010,Kiedricher Gräfenberg,Germany,Rheingau,Einzellage,White,Riesling
1011,Kindzmarauli,Georgia,Kakheti,PDO,Sweet Red,Saperavi
1012,King Valley,Australia,Victoria,GI,Sparkling,Glera; Sangiovese
1013,Kirchberg de Barr,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
1014,Kirchberg de Ribeauvillé,France,Alsace,AOC Grand Cru,White,Riesling
1015,Kitterlé,France,Alsace,AOC Grand Cru,White,Riesling; Gewurztraminer
1016,Klein Karoo,South Africa,Klein Karoo,WO,Fortified,Muscat; Touriga Nacional
1017,Klosterneuburg,Austria,Niederösterreich,Regional,White,Grüner Veltliner
1018,Knights Valley,United States,California (Sonoma),AVA,Red,Cabernet Sauvignon
1019,Kootenays,Canada,British Columbia,BC GI,White,Ortega
1020,Koper,Slovenia,Primorska,PDO,Red,Refošk
1021,Kotekhi,Georgia,Kakheti,PDO,Red,Saperavi
1022,Kras Teran,Slovenia,Primorska,PDO,Red,Refošk
1023,Krasochoria Lemesou,Cyprus,Limassol,PDO,Red,Mavro; Maratheftiko
1024,Kremstal,Austria,Niederösterreich,DAC,White,Grüner Veltliner; Riesling
1025,Kremstal Ried Gebling,Austria,Niederösterreich,Ried,White,Grüner Veltliner
1026,Krishna Valley,India,Karnataka,Regional,Red,Cabernet Sauvignon
1027,Krstač,Montenegro,Podgorica Basin,PDO,White,Krstač
1028,Kuban,Russia,Krasnodar,PGI,Red,Cabernet Sauvignon; Krasnostop Zolotovsky
1029,Kumeu,New Zealand,Auckland,GI,White,Chardonnay
1030,Kunság,Hungary,Kunság,PDO,White,Ezerjó; Cserszegi Fűszeres
1031,Kutjevo Graševina,Croatia,Slavonia & Danube,PDO,White,Graševina
1032,Kvareli,Georgia,Kakheti,PDO,Red,Saperavi
1033,L'Étoile,France,Jura,AOC,White,Chardonnay; Savagnin
1034,La Clape,France,Languedoc,AOC,Red,Syrah; Grenache; Mourvèdre
1035,La Consulta,Argentina,Mendoza,GI,Red,Malbec
1036,La Côte,Switzerland,Vaud,AOC,White,Chasselas
1037,La Gomera,Spain,Canary Islands,DO,White,Forastera Gomera
1038,La Grande Rue,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1039,La Mancha,Spain,Castilla-La Mancha,DO,Red,Cencibel; Airén
1040,La Palma,Spain,Canary Islands,DO,White,Listán Blanco; Negramoll
1041,La Romanée,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1042,La Tâche,France,Burgundy (Côte de Nuits),AOC Grand Cru,Red,Pinot Noir
1043,Lacrima di Morro d'Alba,Italy,Marche,DOC,Red,Lacrima
1044,Lacryma Christi del Vesuvio,Italy,Campania,DOC,Red,Piedirosso; Aglianico
1045,Ladoix,France,Burgundy (Côte de Beaune),AOC,Red,Pinot Noir
1046,Lafões,Portugal,Beiras,DOC,White,Arinto; Cerceal
1047,Lago di Caldaro (Kalterersee),Italy,Trentino-Alto Adige,DOC,Red,Schiava
1048,Lago di Corbara,Italy,Umbria,DOC,Red,Cabernet Sauvignon; Merlot
1049,Lagoa,Portugal,Algarve,DOC,Red,Negra Mole
1050,Lagos,Portugal,Algarve,DOC,Red,Negra Mole; Castelão
1051,Lake Chelan,United States,Washington,AVA,White,Riesling; Chardonnay
1052,Lake Erie (NY),United States,New York,AVA,Red,Concord
1053,Lake Erie North Shore,Canada,Ontario,VQA,Red,Cabernet Franc; Merlot
1054,Lake Michigan Shore,United States,Michigan,AVA,White,Riesling; Cabernet Franc
1055,Lake Naivasha,Kenya,Rift Valley,Regional,White,Sauvignon Blanc
1056,Lakonia,Greece,Peloponnese,PGI,Red,Agiorgitiko
1057,Lalande-de-Pomerol,France,Bordeaux (Right Bank),AOC,Red,Merlot; Cabernet Franc
1058,Lambrusco di Sorbara,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco di Sorbara
1059,Lambrusco Grasparossa di Castelvetro,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco Grasparossa
1060,Lambrusco Mantovano,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco Viadanese
1061,Lambrusco Reggiano,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco Marani; Lambrusco Salamino
1062,Lambrusco Salamino di Santa Croce,Italy,Emilia-Romagna,DOC,Sparkling Red,Lambrusco Salamino
1063,Lamezia,Italy,Calabria,DOC,Red,Gaglioppo; Nerello
1064,Langhe Nebbiolo,Italy,Piedmont,DOC,Red,Nebbiolo
1065,Langhorne Creek,Australia,South Australia,GI,Red,Cabernet Sauvignon; Shiraz
